"scenario","year","hcv_median","hcv_lo","hcv_hi","dc_median","dc_lo","dc_hi","hcc_median","hcc_lo","hcc_hi"
"prison_only_treatment",2030,5837.74871357888,5293.66468301057,6492.68230012704,312.603023227645,280.076555497456,350.761239509601,77.7600919357901,69.6801454784567,87.1390090613219
"prison_only_treatment",2031,5622.3546593139,5099.67079781201,6251.56838252579,300.674699652538,269.544939760976,337.641451601403,74.7041293874733,66.9358501630901,83.7254860246941
"prison_only_treatment",2032,5422.34782977314,4918.26602619102,6025.78399547158,289.125376243726,259.28036702531,324.849179393273,71.7318682988507,64.2874258816016,80.430252504841
"prison_only_treatment",2033,5237.30820735294,4748.6131490043,5814.33687063439,277.990696055126,249.304086183905,312.412244343537,68.8648028780111,61.7368332915554,77.2559040852597
"prison_only_treatment",2034,5062.95237441185,4589.95478466017,5618.91391094507,267.173206098557,239.634747736824,300.355118260272,66.1202981690546,59.2855598808263,74.2046054138748
"prison_only_treatment",2035,4907.0515082125,4440.19679267949,5438.05845847592,256.772407230251,230.288064965314,288.698486001831,63.4914105355926,56.9346400393166,71.275279980437
"prison_only_treatment",2036,4750.6691275927,4296.37688903483,5271.58369040052,246.752509893228,221.27666422566,277.459050656411,60.975235175812,54.684583592386,68.4637216683187
"prison_only_treatment",2037,4607.58008692616,4161.68813311967,5116.98244967365,237.124085217685,212.610079194468,266.649524049524,58.5622098719827,52.5347279618489,65.7759659593983
"prison_only_treatment",2038,4474.86687762446,4035.58905698478,4972.70134889252,227.894231902664,204.294849819211,256.27875258397,56.2986442206726,50.4662074584518,63.2116685731425
"prison_only_treatment",2039,4349.96162070481,3917.3830857884,4838.59269263383,219.036925759157,196.334693740641,246.351937112722,54.146367447388,48.4869486295848,60.769810955339
"prison_only_treatment",2040,4232.59173707198,3806.52150854093,4717.20167947666,210.577429331813,188.72584988891,236.870914013788,52.0922271164803,46.603318196083,58.4504844391374
"prison_only_treatment",2041,4123.63443250401,3703.5408772602,4604.23614490258,202.521203984112,181.475517323514,227.8344721101,50.1571898982562,44.8136955903269,56.2507771372945
"prison_only_treatment",2042,4023.72672232323,3614.10141999868,4499.15567631889,194.840083081356,174.526360315129,219.238686321977,48.3341384112369,43.1362134944479,54.1973129095413
"prison_only_treatment",2043,3927.79536672113,3530.76630258814,4401.4512135937,187.544214747698,167.889969021409,211.027179056427,46.6104019155239,41.5263997767809,52.2660801262126
"prison_only_treatment",2044,3839.06929647822,3450.01579848952,4310.76217855875,180.604141937432,161.578912269122,203.216626452033,44.9476941371449,39.9933431901615,50.4451307389143
"prison_only_treatment",2045,3756.21824594082,3372.83743565273,4226.66001231215,174.105933369761,155.578231501698,195.829211823801,43.4056245073443,38.6163947392034,48.7284954772375
"prison_only_treatment",2046,3679.00870119784,3299.75404104728,4149.79891577419,168.016591304009,149.695649133376,188.844717410747,41.9384602040706,37.3235781560879,47.0944109304795
"prison_only_treatment",2047,3607.2318126349,3231.58028323073,4079.65826714508,162.313838642988,144.1908195067,182.333141850133,40.562075000612,36.108943862539,45.5577624071315
"prison_only_treatment",2048,3537.38912044759,3168.60042835267,4014.69813538277,156.793297237137,139.099860039502,176.243175967923,39.2629320029375,34.9678949164889,44.1150864716966
"prison_only_treatment",2049,3477.99285644742,3112.82465205456,3952.62696413288,151.677692376047,134.550688561064,170.516649664084,38.0340935353279,33.8789625284808,42.7259949619927
"prison_only_treatment",2050,3421.69203659406,3060.92315495829,3894.57359340164,146.826550440099,130.277442887255,165.141767075507,36.8811068456856,32.8547777638601,41.49340862182
"prison_only_treatment",2051,3370.80687477155,3012.63863769649,3840.94984430812,142.274669261576,126.267793380443,160.072091978202,35.7941111126371,31.8953810719129,40.308362817615
"prison_only_treatment",2052,3322.69768106013,2967.72926001791,3792.85353637132,137.95319336342,122.50768847655,155.132778988822,34.8056833771419,31.0209299116843,39.1991394951383
"prison_only_treatment",2053,3276.98107688509,2925.41273901026,3749.03511000638,133.87215677685,118.983623404224,150.682999401799,33.8801945154492,30.2184353624923,38.1744659813004
"prison_only_treatment",2054,3237.38760009238,2884.88740559972,3704.00566599128,130.067363091968,115.686367310529,146.635366511039,33.0257168755773,29.4675913016129,37.2308402807271
"prison_only_treatment",2055,3199.60462299061,2847.16375783502,3663.2554901618,126.479881234058,112.555952435947,142.795328108372,32.2003024148238,28.7673446459091,36.3516107354468
"prison_only_treatment",2056,3164.6077870673,2812.05091585822,3626.19973886023,123.166828628352,109.601588855744,139.142219047432,31.4528076260981,28.1147080493357,35.540705380163
"prison_only_treatment",2057,3130.67658774787,2779.37021043269,3591.94624239754,120.097408486893,106.841924219545,135.747994172697,30.7666854913321,27.4986180034987,34.7735339096725
"prison_only_treatment",2058,3097.8094827775,2748.87292692835,3560.27861004567,117.281018094221,104.265750095494,132.722785336,30.1109225783456,26.9177977563888,34.0644895668394
"prison_only_treatment",2059,3067.7940857165,2720.37871906786,3531.00884762207,114.618552644057,101.948833797973,129.926507857282,29.5023596779838,26.3695312915315,33.4077521510835
"prison_only_treatment",2060,3039.50221009744,2690.96772282544,3503.96163999739,112.189217806858,99.8190506758935,127.33690105348,28.9350932342108,25.832049946229,32.8130985374689
"prison_only_treatment",2061,3014.03969773307,2663.51656842718,3478.97361411014,109.925559899829,97.836901033492,124.753442190479,28.4122247844912,25.3215854530709,32.2749167087025
"prison_only_treatment",2062,2989.67636840692,2637.81830227406,3455.89263184846,107.842590753557,95.9931152769374,122.311830984408,27.9196563024494,24.8450591569588,31.776968043495
"prison_only_treatment",2063,2967.96607975725,2613.82047020721,3434.57711293687,105.84226178825,94.2037650283171,120.17640516496,27.45316611529,24.3982749727489,31.3169110575495
"prison_only_treatment",2064,2949.57302181334,2591.42949201842,3416.3323344771,103.984765628999,92.4701022207296,118.297344480447,27.0217111472382,23.9781966705226,30.8912188037016
"prison_only_treatment",2065,2932.00773204398,2570.53590660759,3400.89638769298,102.199327694499,90.8564351793043,116.558851563078,26.63522563011,23.5946902694904,30.4974991801411
"prison_only_treatment",2066,2914.50119388603,2551.03750433262,3386.70568122287,100.603628674528,89.3130197442073,114.949994131883,26.2807378477556,23.2648354371464,30.1335019015622
"prison_only_treatment",2067,2898.70324006684,2532.8388931609,3372.70058972696,99.17708556393,87.8514485072353,113.461802764712,25.9445100760669,22.9585569718316,29.797113462149
"prison_only_treatment_30plus",2017,11065.1096153975,10005.5769676965,12285.4468285781,479.199988829626,428.904187621275,534.751479400823,125.570140317268,112.67334253195,140.14638006811
"prison_only_treatment_30plus",2018,10430.1852740392,9442.1941648413,11582.6060548375,469.33308317938,420.034639359008,523.971891676888,123.034212507446,110.329516926875,137.275431298117
"prison_only_treatment_30plus",2019,9828.77859450642,8904.56934296942,10907.6535570243,456.972567131568,408.970189313562,510.445521668249,119.263939799825,106.893256537996,133.08153643158
"prison_only_treatment_30plus",2020,9354.97133765194,8476.85201792193,10369.1878315131,444.683042648507,397.9678501261,497.131254833797,115.386143752068,103.366516529973,128.771034244215
"prison_only_treatment_30plus",2021,8952.39568660865,8112.37368442686,9914.76911777061,432.695315432863,387.357860588632,484.021622835788,111.664268105298,99.9649533643394,124.683546694228
