theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.843128,-2.4541955,-2.830444,-0.5849468,2.3033264,-2.087492,-1.7955508,-0.07167961,0.22822328,1.6160923,2.9872499,4.515831
1.8402371,-2.4526227,-2.8227956,-0.57399213,2.2807128,-1.011907,-1.7952214,-0.07085252,0.21725856,1.6235634,2.9630854,4.5184126
1.8401442,-2.4523668,-2.8254333,-0.5686448,2.3418357,-2.1475914,-1.7885565,-0.06986497,0.22737898,1.6164607,2.9698653,4.496306
1.8407056,-2.4565105,-2.831105,-0.58453894,2.32834,-1.4934013,-1.7941117,-0.0737946,0.22164308,1.6269068,2.9992557,4.5504136
1.8353624,-2.461626,-2.8260021,-0.5944172,2.2627583,-2.0889757,-1.7903584,-0.07147438,0.2156066,1.6171639,2.9648478,4.5204644
1.8425678,-2.4575367,-2.8284426,-0.5813251,2.311495,-1.27382,-1.7902814,-0.07428358,0.22485653,1.6139748,2.978815,4.5575285
1.8411125,-2.458528,-2.83052,-0.58725697,2.3059385,-1.5862789,-1.7941891,-0.073120974,0.22486466,1.6235396,2.985249,4.5291853
1.8396575,-2.4552798,-2.8302274,-0.580314,2.2716842,-0.8079993,-1.7913643,-0.07314756,0.21997705,1.6162077,2.9781845,4.5842915
1.8426963,-2.4527981,-2.8270488,-0.5796958,2.2991488,-1.64855,-1.7952964,-0.0738331,0.22825247,1.6187888,2.9857168,4.526255
1.84448,-2.4486437,-2.8325343,-0.593961,2.259361,-1.6924398,-1.7964367,-0.0699206,0.20214857,1.61342,2.9545045,4.535507
1.8414952,-2.4568272,-2.8259497,-0.5820648,2.3088605,-1.0209748,-1.7940152,-0.070230335,0.22325367,1.6244966,2.9952981,4.5650234
1.8414497,-2.4558206,-2.8242404,-0.58276707,2.3203707,-2.2490265,-1.798194,-0.07459265,0.21374002,1.6248628,2.9941967,4.5256176
1.8411757,-2.4559772,-2.8326108,-0.58853966,2.2945225,-1.5607461,-1.7869436,-0.069868684,0.21912654,1.6205473,2.979596,4.523275
1.8439255,-2.455217,-2.8291016,-0.5901984,2.3372269,-1.5955912,-1.7916927,-0.072107665,0.22166443,1.6246538,2.9881313,4.5268984
1.8423492,-2.4552395,-2.8301568,-0.58234864,2.3000884,-1.4278635,-1.7940118,-0.0711774,0.23106268,1.6147847,2.9789126,4.5511193
1.8437648,-2.459158,-2.831821,-0.5882933,2.3110313,-1.3486232,-1.7906474,-0.07356569,0.21871471,1.6194732,2.9855847,4.5437465
1.845268,-2.4585922,-2.8241289,-0.58679456,2.2697554,-1.7485816,-1.7959478,-0.070284486,0.22037499,1.621387,2.9665968,4.511239
1.839242,-2.4555612,-2.8269136,-0.5890738,2.284253,-1.529902,-1.793217,-0.072684325,0.21821316,1.6174669,2.9819891,4.5343447
1.8410735,-2.457877,-2.8279474,-0.5824112,2.3206775,-0.42634997,-1.7952483,-0.07078624,0.2115817,1.6202676,2.9896376,4.596051
1.8402507,-2.4565136,-2.8291526,-0.58775723,2.2944336,-1.6686535,-1.7953719,-0.06969757,0.22148521,1.6245446,2.9848654,4.5347342
1.8428456,-2.4546316,-2.8308966,-0.5866391,2.306389,-1.5233333,-1.7926741,-0.07378494,0.21823816,1.6162081,2.9954395,4.5464177
1.8425508,-2.4574654,-2.8343458,-0.5803585,2.2885017,-1.3493004,-1.7931507,-0.07137284,0.21178563,1.6104852,2.9878619,4.550744
1.8418155,-2.4555948,-2.8264952,-0.5956444,2.3256428,-1.3180661,-1.7905723,-0.07105101,0.22065215,1.6091245,2.9804788,4.548008
1.8405651,-2.454724,-2.826189,-0.56636983,2.2828937,-1.7012246,-1.7903918,-0.06985182,0.23338002,1.6132315,2.964991,4.5081067
1.8428222,-2.456909,-2.827199,-0.5897754,2.303607,-0.5686337,-1.7946064,-0.0709947,0.22021668,1.6188561,2.9864287,4.601333
1.842049,-2.4559658,-2.833394,-0.5838714,2.301329,-1.8584763,-1.7912135,-0.07167067,0.2159532,1.6282202,2.9889767,4.540378
1.8377372,-2.4556067,-2.832493,-0.58279186,2.2893717,-1.6050717,-1.7971098,-0.07338376,0.20763756,1.6166115,2.9835439,4.5198455
1.8420713,-2.453638,-2.8258116,-0.58234066,2.288427,-1.2685461,-1.79484,-0.07190914,0.2120759,1.6303122,2.9836104,4.5439634
1.8429056,-2.4554384,-2.824525,-0.5847947,2.3470578,-2.2210577,-1.7946393,-0.07207845,0.2295094,1.6266286,3.004454,4.530632
1.8407013,-2.454437,-2.8262827,-0.57711905,2.2996988,-1.1405948,-1.7940271,-0.06935637,0.22832723,1.628887,2.9943504,4.55228
1.8404721,-2.4544117,-2.8303943,-0.58654004,2.2908854,-2.1449049,-1.7934654,-0.06991704,0.22193614,1.6135834,2.9851577,4.520228
