theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.7517745,-2.5000892,-2.9406393,-0.77302784,2.18738,1.8804356,-1.7777847,-0.08596603,0.25449437,1.6496282,3.0812507,5.5116677
1.7378088,-2.4925654,-2.9220634,-0.77414066,2.137594,-0.7852494,-1.7804503,-0.09150035,0.22891371,1.669718,3.0180054,4.8233447
1.7393533,-2.4878845,-2.945915,-0.77961624,2.2187557,-4.6458483,-1.7946298,-0.08837524,0.24445882,1.6779089,3.116417,4.7312818
1.7375928,-2.4936855,-2.9414904,-0.7677266,2.1304786,-2.0499399,-1.7794412,-0.09542925,0.22143036,1.6591898,2.9755228,4.7331614
1.7499714,-2.5225666,-2.9442456,-0.7711192,2.0927658,-4.000511,-1.7731559,-0.09025636,0.2070175,1.6338084,3.0123155,4.7041063
1.7266716,-2.5093913,-2.941308,-0.7702167,2.17909,-0.05953528,-1.7802722,-0.09472936,0.23497415,1.6655048,3.0747771,4.844768
1.729709,-2.495788,-2.9468327,-0.7805599,2.058311,-0.6327429,-1.787808,-0.097701825,0.23931125,1.6980171,2.8869183,4.7929254
1.738332,-2.5084994,-2.937853,-0.76633453,2.2154582,-0.86193275,-1.7861159,-0.09495087,0.2587153,1.5928481,3.0565572,4.750685
1.7564975,-2.4969335,-2.949424,-0.77012575,2.18535,0.05178788,-1.7809811,-0.08457557,0.22961918,1.5824538,3.052458,4.854609
1.7336528,-2.516043,-2.9351213,-0.7771845,2.0203643,-1.3893276,-1.7758539,-0.0727438,0.241401,1.6470981,2.9158173,4.770423
1.7244508,-2.5115948,-2.9331903,-0.77226937,2.179197,-2.9142673,-1.8020039,-0.07436054,0.24419029,1.6349093,3.1248012,4.6647463
1.7482072,-2.4983692,-2.9440463,-0.77814716,2.2065496,-0.93678117,-1.792396,-0.081650555,0.22421922,1.7415985,3.066134,4.8004794
1.7448361,-2.5052726,-2.925665,-0.76417434,2.105582,-1.9884578,-1.7905382,-0.1025928,0.2296611,1.6457269,3.0308146,4.6926312
1.738644,-2.5164807,-2.956903,-0.78188956,2.1143427,-1.7065289,-1.7704858,-0.08495974,0.2170535,1.6270844,2.9350843,4.719545
1.7459776,-2.5009065,-2.9301245,-0.7582823,2.1558642,-1.1549463,-1.7754616,-0.086558476,0.24233332,1.6286111,3.0329616,4.74046
1.7483714,-2.4953322,-2.936966,-0.76469207,2.1242924,-1.6933842,-1.7866327,-0.08484381,0.23780802,1.5924964,3.0771365,4.6195507
1.7351749,-2.5145476,-2.9408405,-0.7495162,2.0949903,0.9508645,-1.7842484,-0.09238584,0.24851017,1.7017837,2.9921944,5.1144743
1.7394172,-2.493393,-2.9400005,-0.7780477,2.1976807,0.6383122,-1.7790008,-0.08402432,0.2595329,1.6264567,3.0243695,5.0222096
1.7438657,-2.5067375,-2.9389992,-0.74765253,2.147843,-2.0572655,-1.7748029,-0.08857748,0.20477653,1.6157438,3.0358608,4.7438755
1.7346169,-2.512021,-2.9386537,-0.7606153,2.1301916,0.20081742,-1.7855008,-0.0851331,0.24860595,1.770181,2.981184,4.8667884
1.7322419,-2.5118861,-2.9428349,-0.7718423,2.1802645,-2.1913977,-1.7942661,-0.09569679,0.2415838,1.671345,3.0184011,4.6409183
1.7141018,-2.5110824,-2.937848,-0.7806032,2.136028,-2.4878922,-1.7720692,-0.096603975,0.17311019,1.6866802,2.7612011,4.6863995
1.731787,-2.511645,-2.9427347,-0.7628332,2.1311607,-2.6368117,-1.7786081,-0.09353593,0.23985597,1.68727,2.9811528,4.6959476
