"source","p1","p2","p3","p4","p5","p6","N1","N2","N3","N4","N5","N6"
"npe",0.108607489180431,0.172363377067323,0.265853820694824,0.428728065243994,0.478669623414454,0.38375909497531,98.534039174721,1242.62876739843,1478.2137372684,1761.51574478529,1620.3786063289,516.600006264178
"npe",0.107507814499423,0.167608295217923,0.2621029821098,0.420085714785593,0.488065115522067,0.395559853150434,98.8930483190693,1259.79212327186,1470.86859923675,1874.81968199442,1635.84019440745,537.443161690395
"npe",0.112397523337922,0.178496215102888,0.27593483028642,0.435921255812993,0.486337458743613,0.37912235579857,98.433899041703,1240.26195923285,1423.78362663516,1780.86829345946,1477.69773685653,481.105268777039
"npe",0.115819591174345,0.180822784760744,0.281037865534844,0.438494200186516,0.480246788247595,0.378924992404118,98.9471753470343,1254.99268711586,1450.67995030979,1686.17611056764,1555.20537055218,507.057518599461
"npe",0.111390783601005,0.176191305035878,0.278530578502123,0.438431888508373,0.489376621671454,0.388963509371298,98.8603426953278,1255.33984045022,1416.6960734963,1681.65103204573,1537.6629182681,536.304054274719
"npe",0.11336141345972,0.177992529428912,0.277976655087173,0.438632342519284,0.492688184267445,0.393755147772754,97.7419609864422,1244.98251367695,1457.91584525865,1800.39450593795,1621.70689444457,520.951131179256
"npe",0.108922695192911,0.170496244596424,0.265685127512728,0.427300704914098,0.484428813121139,0.388492656320884,99.3500957272619,1240.13046925941,1449.99599434473,1853.59514839545,1633.64815827147,520.372513282329
"npe",0.111788635112429,0.177116054412105,0.274306959673204,0.43352318315793,0.494413439000952,0.402736109907697,99.1297057806529,1255.89617991885,1465.20564544394,1856.0577906062,1655.22253485062,527.623873723678
"npe",0.110084717245055,0.174675169938393,0.270773515689817,0.435954459044669,0.489365327847959,0.392183748061137,98.7947382711914,1260.09921830607,1469.36530953605,1735.33930966416,1614.63351811842,523.099357975999
"npe",0.110677729219967,0.174593312684795,0.27226812763104,0.435995274979693,0.483433186161916,0.391350394288711,98.0553439465611,1247.88299706215,1480.80099064253,1754.3406478744,1533.18989302091,499.906418763984
"npe",0.109378984403935,0.172252190111891,0.271622734885612,0.431690495482655,0.48334926615654,0.382931804053989,98.5562934864009,1249.48392271361,1454.90007255111,1815.10919220597,1584.89503235816,510.159468100472
