theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.7070245,-2.4957166,-3.2947252,-3.1368182,0.32299754,-1.4413744,-1.7661287,-0.08675995,-0.6033912,1.7657278,-5.5488787,4.7167735
1.6936415,-2.5676744,-3.038104,-0.22120802,0.44478172,-2.9340131,-1.7634779,-0.09300057,0.14754367,1.6715409,2.2162051,4.256585
1.6088549,-2.6731038,-2.3353732,-1.8348746,0.9774945,-6.2181807,-1.7684087,-0.093195945,0.96792096,1.1484151,0.4459144,3.2762754
1.6448921,-2.624818,-2.857453,-0.62243813,-0.53528404,-6.74783,-1.7721251,-0.1149931,0.1858456,1.9769284,0.22225007,4.4046607
1.598433,-2.6891823,-3.274391,0.5608729,-0.65711296,-2.7988143,-1.7667099,-0.11034013,0.19487005,2.0127294,0.10756107,4.955132
1.6208023,-2.7277446,-3.0885859,-1.015214,0.6834668,-7.0783267,-1.7576367,-0.10754,0.23849083,1.952825,1.4977626,4.49915
1.6257136,-2.6482222,-3.5660825,-0.17527165,-1.5389444,-6.9556055,-1.7757144,-0.11009507,0.19144319,1.9069489,-7.5659647,4.170833
1.5317332,-2.7416286,-1.6761874,-2.46869,0.49758154,-4.45758,-1.7760835,-0.074483015,-0.014103637,1.8268359,1.0359769,4.4428663
1.569647,-2.4295628,-2.8967326,-1.7853167,0.444221,-3.9933481,-1.7686385,-0.101986416,0.1854016,1.4903924,3.2398741,4.117619
1.7386675,-2.6806567,-3.562069,-0.24929422,1.5005081,-1.3428801,-1.7666448,-0.10582109,0.42609906,1.6938884,1.8187406,4.311519
1.5817081,-2.4910202,-2.0162034,0.4142732,-1.8552139,-3.1225932,-1.7747455,-0.095148146,0.09919513,2.1007109,-3.4687853,4.779658
1.6811817,-2.4717963,-2.615238,-1.9101394,0.5334285,-7.312916,-1.7844898,-0.09106869,0.19754583,1.5755395,1.5801036,3.2018042
1.6142043,-2.8524117,-3.0648963,-1.1358283,-0.6026956,-7.4606466,-1.7634387,-0.10891121,0.5819695,1.6796625,0.53463626,3.171329
1.6433511,-2.6272032,-4.180362,1.2995744,-0.19971715,-1.414754,-1.7729114,-0.10697235,0.07692949,1.8053769,-1.7585075,4.8542433
1.6313187,-2.5893342,-3.134767,-1.8864573,1.7042156,-11.353958,-1.7622608,-0.09891278,0.27175665,1.2462977,2.8101919,2.5136168
1.5941106,-2.5433826,-4.0397987,-2.6170418,0.32113805,-0.5554431,-1.7716043,-0.10865716,0.455462,1.4819834,-1.77336,4.634692
1.6719447,-2.558976,-3.2153933,-2.8989317,-0.55435085,-5.584905,-1.7821438,-0.10631457,-0.018506529,1.6138217,-5.037904,4.7759924
1.7562381,-2.650761,-3.5197525,-0.8045599,-0.84242994,-3.318293,-1.7721509,-0.10003785,0.27300242,1.898906,-1.0122559,4.77158
1.6763762,-2.5244415,-3.3417773,-0.9647554,3.101934,-0.4383499,-1.7797765,-0.11262398,-0.78468645,1.5316459,5.3104835,4.226208
1.5758477,-2.6010733,-3.1021445,-1.4702715,-0.25632125,-5.0522904,-1.7696674,-0.10749559,0.17563093,1.7126154,0.59324235,4.581151
1.6428773,-2.7617702,-2.831585,-1.4847122,1.1185826,-5.690909,-1.7822188,-0.10162124,0.35560122,1.9560335,2.4337113,4.78233
